hash,message,.text,.data,.bss
5e5cdfe,bugfix: removed code causing memory violation,14508,926,14
fae0e42,feat: panic_handler and some useful panic macros,15036,974,14
09f5bed,refactor: corrected panic_handler to take correct message,14184,974,14
c88afa6,refactor: added simplistic type convertion in utils. u32 -> u16,14242,1028,14
8cb2670,temp: introduced panic_handler,14242,1028,14
026aabf,minor change,12496,398,14
3965b58,minor change,12488,398,14
27e193e,refactoring: minor change,13562,398,14
f473ae2,"refactor: In AVR side, substituted Accessor/Arena to change 'variable' in memory to just an raw_pointer (unsafe)",13022,398,14
ed3039b,temp: implementing recursivo menu,13356,420,63
479532a,minor change,14566,420,63
55aa7e2,bugfix: make types compatible between AVR and PC interface contact for new Arena,14566,420,63
9e9b47a,test: check error case,14566,420,63
fa4b733,refactor: removed unnecessary mutability,14566,420,63
9099dfa,feat: introduced falible function's alternatives to reduce client's code surface,14566,420,63
b2c48e7,refactor: applied Copy trait to avoid explicity typing clone everywhere,14566,420,63
7dc4341,test: added tests to rust aliasing check,14566,420,63
1014026,formating: minor change,14566,420,63
9d8fc25,refactor: converted RefCell to UnsafeCell,14566,420,63
c59b6c6,test: mutability on arena,14566,420,63
90bcc49,temp: changed Cell element to RefCell element,12778,398,67
73a5513,temp: wrap arena database inside an RefCell,12752,398,45
de53aaa,refactor: Arena was moved from AVR code to PC code,12752,398,41
81c9389,Introduced Cell inside Arena database,12752,398,41
f790ae7,removed 'static lifetimes,12752,398,41
a12f56d,removed 'static lifetime from Accessor constructor,12752,398,41
6bf5ebb,minor change,12752,398,41
f005ce4,"introduced standard ""Cell"" replacing my hand-made equivalent code",12752,398,41
53ed1cd,renaming,12752,398,41
fa8ed44,removed unused code,12752,398,41
a2c4d7c,refactor: remove lifetimes - Part 1,12752,440,14
c7ed7ce,feat: New Accessor type to avoid the use and propagation of lifetimes,12558,398,14
229a842,refactor: reabsorbed function on type. Elimination of helper functions.,12544,398,14
d6d0435,removed unused code,12544,398,14
31441b9,refactor: monomorphisation of data type,12544,398,14
76a897f,refactor: reduced data structure memory footprint (part 2),13066,398,14
95146de,refactor: reduced data structure memory foot print,12544,398,14
